timestamp,c_dht,h_dht,c_bme,p_bme,h_bme
1713366607,22.70885,48.97536,20.75,996.40,41.78
1713366617,22.72221,48.97841,20.75,996.32,41.74
1713366627,22.6955,48.95094,20.75,996.40,41.73
1713366637,22.6955,48.95094,20.74,996.36,41.74
1713366647,22.67948,48.9601,20.74,996.39,41.77
1713366657,22.6955,49.03334,20.74,996.37,41.84
1713366667,22.6955,48.97383,20.74,996.38,41.82
1713366677,22.6955,48.98451,20.74,996.44,41.79
1713366687,22.67948,49.03029,20.74,996.38,41.84
1713366697,22.6955,49.08064,20.73,996.41,41.79
1713366707,22.6955,49.03334,20.74,996.35,41.83
1713366717,22.66613,49.03944,20.73,996.39,41.79
1713366727,22.6955,49.0074,20.72,996.38,41.84
1713366737,22.67948,49.0898,20.71,996.36,41.87
1713366747,22.67948,49.1249,20.72,996.38,41.87
1713366757,22.66613,49.1249,20.72,996.38,41.86
1713366767,22.66613,49.08827,20.71,996.36,41.86
1713366777,22.66613,49.05318,20.7,996.35,41.86
1713366787,22.66613,49.11269,20.71,996.35,41.86
1713366797,22.63943,49.08369,20.7,996.39,41.90
1713366807,22.66613,49.11269,20.7,996.37,41.93
1713366817,22.67948,49.14931,20.69,996.35,41.94
1713366827,22.66613,49.1249,20.67,996.35,41.96
1713366837,22.65278,49.18135,20.67,996.29,42.01
1713366847,22.63943,49.16762,20.67,996.35,41.97
1713366857,22.66613,49.17067,20.67,996.34,42.01
1713366867,22.63943,49.16762,20.67,996.34,41.99
1713366877,22.65278,49.20424,20.66,996.41,42.02
1713366887,22.61005,49.16304,20.66,996.38,41.96
1713366897,22.65278,49.19509,20.67,996.34,42.00
1713366907,22.63943,49.19356,20.66,996.33,42.03
1713366917,22.63943,49.22713,20.65,996.39,42.11
1713366927,22.61005,49.22255,20.65,996.34,42.10
1713366937,22.62341,49.20272,20.65,996.39,42.06
1713366947,22.62341,49.20272,20.63,996.34,42.05
1713366957,22.5967,49.19814,20.63,996.34,42.14
1713366967,22.63943,49.25002,20.63,996.36,42.13
1713366977,22.61005,49.28206,20.62,996.32,42.18
1713366987,22.61005,49.25917,20.6,996.32,42.10
1713366997,22.61005,49.28206,20.6,996.37,42.16
1713367007,22.5967,49.28054,20.6,996.34,42.16
1713367017,22.61005,49.27138,20.59,996.33,42.18
1713367027,22.58068,49.34005,20.59,996.30,42.19
1713367037,22.58068,49.34005,20.6,996.34,42.19
1713367047,22.58068,49.34921,20.59,996.25,42.26
1713367057,22.5967,49.34158,20.59,996.32,42.20
1713367067,22.58068,49.38583,20.59,996.29,42.23
1713367077,22.56733,49.38277,20.59,996.32,42.21
1713367087,22.61005,49.3782,20.58,996.25,42.21
1713367097,22.58068,49.34921,20.59,996.31,42.28
1713367107,22.58068,49.37362,20.58,996.36,42.27
1713367117,22.56733,49.35989,20.57,996.34,42.30
1713367127,22.58068,49.40871,20.57,996.31,42.25
1713367137,22.56733,49.38277,20.57,996.34,42.28
1713367147,22.58068,49.38583,20.57,996.34,42.28
1713367157,22.55398,49.44228,20.57,996.33,42.32
1713367167,22.5967,49.4728,20.56,996.37,42.37
1713367177,22.58068,49.49264,20.55,996.37,42.41
1713367187,22.54063,49.48653,20.55,996.45,42.43
1713367197,22.56733,49.4789,20.55,996.37,42.39
1713367207,22.56733,49.4789,20.54,996.35,42.41
1713367217,22.54063,49.51095,20.54,996.42,42.38
1713367227,22.55398,49.52468,20.53,996.44,42.48
1713367237,22.54063,49.61623,20.53,996.50,42.50
1713367247,22.5246,49.53231,20.52,996.51,42.45
1713367257,22.54063,49.53384,20.52,996.59,42.44
1713367267,22.54063,49.54757,20.52,996.45,42.45
1713367277,22.5246,49.5201,20.52,996.45,42.43
1713367287,22.54063,49.53384,20.52,996.53,42.45
1713367297,22.54063,49.54757,20.52,996.46,42.46
1713367307,22.5246,49.54604,20.52,996.46,42.45
1713367317,22.5246,49.58266,20.51,996.56,42.53
1713367327,22.54063,49.65285,20.5,996.51,42.51
1713367337,22.4979,49.57809,20.5,996.50,42.55
1713367347,22.51125,49.61471,20.49,996.48,42.52
1713367357,22.51125,49.65133,20.5,996.51,42.52
1713367367,22.5246,49.60555,20.49,996.61,42.58
1713367377,22.5246,49.65133,20.49,996.59,42.57
1713367387,22.5246,49.67574,20.49,996.47,42.60
1713367397,22.51125,49.66201,20.49,996.53,42.57
1713367407,22.4979,49.66048,20.49,996.50,42.57
1713367417,22.4979,49.70779,20.47,996.55,42.62
1713367427,22.4979,49.72,20.48,996.54,42.60
1713367437,22.4979,49.70779,20.47,996.49,42.64
1713367447,22.46853,49.70321,20.47,996.52,42.64
1713367457,22.46853,49.70321,20.47,996.49,42.63
1713367467,22.4979,49.72,20.46,996.45,42.66
1713367477,22.4979,49.7673,20.45,996.52,42.71
1713367487,22.4979,49.75357,20.46,996.51,42.70
1713367497,22.4979,49.7673,20.46,996.51,42.68
1713367507,22.46853,49.7261,20.45,996.52,42.72
1713367517,22.46853,49.81155,20.45,996.49,42.73
1713367527,22.46853,49.81155,20.44,996.47,42.75
1713367537,22.46853,49.83444,20.45,996.44,42.72
1713367547,22.44183,49.78408,20.44,996.50,42.72
1713367557,22.46853,49.77493,20.43,996.51,42.69
1713367567,22.45518,49.77188,20.44,996.54,42.71
1713367577,22.48455,49.81308,20.44,996.50,42.73
1713367587,22.44183,49.78408,20.43,996.51,42.73
1713367597,22.44183,49.80697,20.43,996.59,42.73
1713367607,22.44183,49.80697,20.43,996.49,42.71
1713367617,22.45518,49.79477,20.43,996.49,42.72
1713367627,22.45518,49.7612,20.43,996.51,42.73
1713367637,22.44183,49.80697,20.43,996.49,42.75
1713367647,22.46853,49.85733,20.42,996.52,42.78
1713367657,22.4258,49.84054,20.43,996.49,42.73
1713367667,22.4258,49.82986,20.43,996.50,42.74
1713367677,22.44183,49.78408,20.42,996.52,42.74
1713367687,22.45518,49.82223,20.42,996.46,42.76
1713367697,22.4258,49.81765,20.42,996.46,42.76
1713367707,22.41245,49.82681,20.41,996.43,42.77
1713367717,22.45518,49.85733,20.42,996.49,42.77
1713367727,22.44183,49.86648,20.41,996.47,42.77
1713367737,22.44183,49.86648,20.4,996.44,42.78
1713367747,22.41245,49.81613,20.41,996.42,42.78
1713367757,22.4258,49.92599,20.41,996.42,42.86
1713367767,22.4258,49.91226,20.41,996.47,42.81
1713367777,22.4258,49.88937,20.39,996.48,42.80
1713367787,22.4258,49.88937,20.4,996.49,42.81
1713367797,22.4258,49.89853,20.39,996.53,42.89
1713367807,22.41245,49.94583,20.39,996.50,42.90
1713367817,22.41245,49.99466,20.39,996.52,42.85
1713367827,22.4258,49.91226,20.38,996.57,42.86
1713367837,22.41245,49.95804,20.38,996.45,42.85
1713367847,22.41245,49.90921,20.38,996.43,42.88
1713367857,22.3991,49.9321,20.38,996.48,42.87
1713367867,22.4258,49.98245,20.37,996.44,42.92
1713367877,22.3991,50.00381,20.37,996.46,42.96
1713367887,22.3991,50.02823,20.37,996.44,42.90
1713367897,22.41245,50.01755,20.37,996.55,42.93
1713367907,22.41245,50.00534,20.36,996.53,42.89
1713367917,22.36973,49.93973,20.36,996.53,42.93
1713367927,22.38575,49.99008,20.36,996.44,42.96
1713367937,22.41245,50.02823,20.36,996.49,42.97
1713367947,22.38575,50.0267,20.36,996.50,42.92
1713367957,22.3991,50.0145,20.36,996.49,42.94
1713367967,22.36973,49.99924,20.36,996.55,42.94
1713367977,22.36973,50.03281,20.36,996.47,42.94
1713367987,22.38575,50.06027,20.36,996.56,42.93
1713367997,22.36973,50.03281,20.36,996.50,42.95
1713368007,22.35638,50.09232,20.35,996.43,42.95
1713368017,22.38575,50.07248,20.34,996.50,42.96
1713368027,22.36973,50.05875,20.34,996.52,42.94
1713368037,22.36973,50.06943,20.36,996.47,42.94
1713368047,22.35638,50.05569,20.36,996.52,42.97
1713368057,22.35638,50.1152,20.35,996.49,42.95
1713368067,22.36973,50.09537,20.35,996.53,42.98
1713368077,22.36973,50.04654,20.35,996.51,43.00
1713368087,22.36973,50.10605,20.34,996.49,42.99
1713368097,22.35638,50.10452,20.34,996.55,43.02
1713368107,22.35638,50.12894,20.34,996.55,43.02
1713368117,22.327,50.07706,20.34,996.53,43.03
1713368127,22.327,50.11063,20.34,996.49,43.04
1713368137,22.34303,50.09079,20.35,996.56,43.03
1713368147,22.35638,50.13809,20.34,996.49,42.99
1713368157,22.34303,50.18692,20.34,996.53,43.02
1713368167,22.34303,50.07858,20.33,996.50,43.00
