timestamp,c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713532811,21.42176,49.14016,20.38,1001.15,40.87,22.88624,72.96712
1713532821,21.40841,49.15236,19.92,1001.27,41.08,22.80568,73.1136
1713532831,21.40841,49.15236,19.92,1001.2,41.06,22.88624,72.64973
1713532841,21.43511,49.06081,19.92,1001.21,41.13,22.88624,72.57648
1713532851,21.42176,48.91584,19.92,1001.25,41.14,22.88624,72.43
1713532861,21.43511,48.90669,19.92,1001.19,41.13,22.88624,72.13703
1713532871,21.42176,48.89296,19.92,1001.18,41.13,22.88624,71.64874
1713532881,21.43511,48.82429,19.92,1001.15,41.06,22.80568,71.57549
1713532891,21.42176,48.84565,19.91,1001.2,41.08,22.88624,72.01495
1713532901,21.43511,48.92958,19.91,1001.2,41.05,22.96681,71.99054
1713532911,21.43511,48.98909,19.92,1001.25,41.04,22.96681,72.01495
1713532921,21.42176,49.11726,19.92,1001.18,41.08,22.88624,71.84406
1713532931,21.43511,49.12032,19.92,1001.17,41.12,22.88624,71.79523
1713532941,21.40841,49.11574,19.93,1001.22,41.04,22.88624,71.69757
1713532951,21.45113,49.05165,19.93,1001.24,41.07,22.96681,71.62432
1713532961,21.45113,49.14473,19.93,1001.18,41.14,23.04738,72.03937
1713532971,21.45113,49.13558,19.94,1001.12,41.14,22.88624,71.96613
1713532981,21.45113,49.19356,19.92,1001.2,41.16,22.96681,71.55108
1713532991,21.45113,49.18135,19.94,1001.23,41.19,22.88624,71.45342
1713533001,21.45113,49.26375,19.94,1001.17,41.17,22.88624,72.13703
1713533011,21.45113,49.29885,19.94,1001.17,41.23,23.04738,72.23469
1713533021,21.46449,49.27748,19.94,1001.18,41.25,22.96681,71.57549
1713533031,21.46449,49.24392,19.95,1001.13,41.21,23.12795,71.35577
1713533041,21.47784,49.19509,19.95,1001.16,41.21,22.96681,71.40459
1713533051,21.45113,49.19356,19.95,1001.13,41.21,22.96681,71.69757
1713533061,21.46449,49.20729,19.95,1001.17,41.21,23.04738,72.0882
1713533071,21.45113,49.20424,19.96,1001.2,41.21,23.04738,71.52666
1713533081,21.46449,49.24392,19.95,1001.16,41.17,22.96681,71.16045
1713533091,21.47784,49.10201,19.96,1001.07,41.24,23.20852,71.16045
1713533101,21.45113,49.09895,19.96,1001.2,41.22,23.12795,71.84406
1713533111,21.47784,49.16152,19.96,1001.1,41.16,22.96681,71.50225
1713533121,21.46449,49.14779,19.97,1001.06,41.19,23.04738,71.40459
1713533131,21.47784,49.20882,19.96,1001.13,41.2,23.04738,71.40459
1713533141,21.47784,49.14931,19.97,1001.08,41.22,23.04738,71.38018
1713533151,21.46449,49.23018,19.97,1001.0,41.22,22.96681,71.50225
1713533161,21.46449,49.18441,19.97,1001.12,41.25,22.96681,71.55108
1713533171,21.47784,49.1722,19.98,1001.08,41.22,23.04738,71.79523
1713533181,21.46449,49.17067,19.98,1001.04,41.25,22.96681,71.77081
1713533191,21.47784,49.0898,19.98,1001.1,41.25,22.96681,71.9173
1713533201,21.49119,49.09285,19.98,1001.13,41.14,22.96681,72.03937
1713533211,21.49119,49.09285,19.99,1001.01,41.24,23.04738,72.16145
1713533221,21.49119,49.16304,19.99,1001.07,41.24,23.20852,72.47883
1713533231,21.46449,49.18441,19.99,1001.07,41.24,23.04738,72.21027
1713533241,21.49119,49.12947,20.0,1001.08,41.2,23.04738,72.11262
1713533251,21.47784,49.19509,20.0,1001.06,41.18,23.04738,72.2591
1713533261,21.50721,49.1661,20.01,1001.1,41.15,23.12795,72.28352
1713533271,21.50721,49.17678,20.01,1001.07,41.12,23.12795,72.01495
1713533281,21.52056,49.14473,20.0,1001.06,41.13,23.04738,72.0882
1713533291,21.50721,49.11726,20.01,1000.99,41.12,22.96681,71.94171
1713533301,21.50721,49.19051,20.02,1001.12,41.16,23.20852,71.9173
1713533311,21.50721,48.91584,20.01,1001.13,41.09,23.20852,71.9173
1713533321,21.52056,48.77699,20.02,1001.04,41.1,23.04738,71.77081
1713533331,21.50721,48.95247,20.04,1001.09,41.03,23.04738,71.79523
1713533341,21.50721,49.08369,20.03,1001.05,41.02,23.04738,71.94171
1713533351,21.50721,49.23629,20.03,1001.02,41.13,23.12795,71.81964
1713533361,21.52056,49.22713,20.03,1001.06,41.15,23.04738,72.11262
1713533371,21.52056,49.21645,20.01,1001.02,41.16,23.04738,71.89288
1713533381,21.50721,49.2958,20.01,1000.99,41.2,22.96681,71.84406
1713533391,21.52056,49.33547,20.01,1000.99,41.2,23.12795,71.94171
1713533401,21.50721,49.41482,20.02,1001.07,41.28,23.04738,72.01495
1713533411,21.52056,49.41787,20.01,1000.97,41.31,23.20852,71.9173
1713533421,21.52056,49.35836,20.01,1001.02,41.31,23.28908,71.96613
1713533431,21.52056,49.35836,20.01,1001.02,41.29,23.20852,72.18586
1713533441,21.52056,49.34463,20.01,1001.05,41.29,23.04738,72.38117
1713533451,21.53391,49.40566,20.0,1001.06,41.32,23.04738,72.33234
1713533461,21.56329,49.45907,20.01,1001.07,41.31,23.20852,72.40559
1713533471,21.52056,49.40566,20.01,1001.02,41.32,23.20852,72.38117
1713533481,21.54726,49.44534,20.01,1001.13,41.31,23.04738,72.6009
1713533491,21.54726,49.37209,20.02,1001.09,41.33,23.04738,72.50324
1713533501,21.53391,49.30037,20.01,1001.11,41.26,23.20852,72.50324
1713533511,21.56329,49.25765,20.02,1001.09,41.34,23.04738,72.35676
1713533521,21.52056,49.23934,20.01,1001.02,41.31,23.04738,72.23469
1713533531,21.54726,49.18135,20.03,1001.0,41.26,23.04738,72.18586
1713533541,21.56329,49.18441,20.03,1001.1,41.34,23.28908,72.21027
1713533551,21.54726,49.2668,20.02,1001.03,41.18,23.20852,72.21027
1713533561,21.56329,49.19814,20.03,1001.05,41.26,23.20852,72.0882
1713533571,21.53391,49.14779,20.04,1001.07,41.23,23.04738,72.03937
1713533581,21.56329,49.05623,20.04,1001.01,41.15,23.20852,71.99054
1713533591,21.53391,49.07454,20.03,1001.02,41.16,23.20852,71.96613
1713533601,21.56329,49.07912,20.03,1001.06,41.19,23.12795,72.0882
1713533611,21.54726,49.14779,20.04,1001.07,41.14,23.20852,71.89288
1713533621,21.54726,49.13558,20.04,1000.99,41.16,23.04738,71.57549
1713533631,21.53391,49.06233,20.05,1001.03,41.16,23.12795,71.35577
1713533641,21.54726,49.02876,20.05,1001.03,41.12,23.20852,71.30694
1713533651,21.58999,49.09438,20.05,1000.95,41.18,23.20852,71.18486
1713533661,21.54726,49.08827,20.04,1000.99,41.08,23.12795,71.33135
1713533671,21.53391,49.02876,20.05,1000.95,41.08,23.04738,71.52666
1713533681,21.57664,49.04707,20.04,1000.99,41.15,23.20852,71.38018
1713533691,21.56329,49.10201,20.05,1001.04,41.12,22.96681,71.52666
1713533701,21.54726,49.12185,20.05,1000.97,41.0,23.20852,71.38018
1713533711,21.56329,49.11574,20.06,1000.99,41.01,23.20852,71.42901
1713533721,21.56329,49.11574,20.06,1000.99,41.07,23.28908,71.42901
1713533731,21.57664,49.10353,20.07,1001.01,41.12,23.20852,72.57648
1713533741,21.56329,49.07912,20.06,1001.0,41.13,23.20852,71.62432
1713533751,21.56329,49.05623,20.06,1000.96,41.16,23.04738,71.84406
1713533761,21.56329,49.06691,20.06,1001.02,41.03,23.20852,71.9173
1713533771,21.56329,49.07912,20.06,1000.97,41.06,23.12795,71.30694
1713533781,21.56329,49.10201,20.06,1000.92,41.1,23.04738,71.57549
1713533791,21.56329,49.14931,20.06,1000.94,41.15,23.20852,71.0872
1713533801,21.58999,49.11726,20.06,1000.96,41.15,23.12795,71.01396
1713533811,21.58999,49.14016,20.06,1000.88,41.12,23.20852,71.67315
1713533821,21.58999,49.21187,20.05,1000.95,41.2,23.04738,72.03937
1713533831,21.60601,49.19051,20.05,1000.93,41.17,23.20852,72.03937
1713533841,21.57664,49.16304,20.05,1000.9,41.16,23.20852,71.57549
1713533851,21.57664,49.11574,20.06,1000.96,41.14,23.20852,71.81964
1713533861,21.60601,49.08369,20.06,1000.97,41.06,23.04738,71.20927
1713533871,21.57664,49.06996,20.07,1000.95,41.11,23.20852,75.67865
1713533881,21.58999,49.08064,20.07,1000.9,41.07,23.20852,72.6009
1713533891,21.60601,49.10811,20.06,1000.99,41.17,23.20852,70.86747
1713533901,21.61936,49.07607,20.05,1001.0,41.09,23.20852,72.57648
1713533911,21.60601,48.97841,20.06,1000.94,41.09,23.20852,71.0872
1713533921,21.61936,48.95552,20.05,1000.98,41.12,23.04738,71.2581
1713533931,21.60601,48.97841,20.04,1000.97,41.18,23.20852,70.64774
1713533941,21.61936,49.00282,20.05,1000.93,41.19,23.04738,71.62432
1713533951,21.61936,48.94331,20.04,1001.02,41.2,23.12795,73.65073
1713533961,21.63271,48.89753,20.05,1000.95,41.12,23.12795,74.92027
1713533971,21.60601,48.81056,20.05,1000.97,41.04,23.12795,74.18784
1713533981,21.63271,48.81514,20.05,1001.0,41.06,23.04738,75.45892
1713533991,21.63271,48.79072,20.03,1000.89,41.07,23.04738,73.79721
1713534001,21.61936,48.74189,20.05,1000.87,41.0,23.04738,74.04135
1713534011,21.60601,48.75105,20.05,1000.87,41.04,23.04738,72.30793
1713534021,21.63271,48.73121,20.05,1000.84,40.96,23.04738,74.35873
1713534031,21.57664,48.72358,20.06,1000.94,40.94,23.04738,75.01945
1713534041,21.58999,48.67781,20.06,1000.88,40.93,22.96681,74.9691
1713534051,21.58999,48.6183,20.05,1000.87,40.89,22.96681,74.89586
1713534061,21.60601,48.59846,20.06,1000.94,40.94,22.96681,74.87144
1713534071,21.60601,48.65797,20.05,1000.92,40.87,23.20852,74.82262
1713534081,21.60601,48.66865,20.04,1000.86,40.96,22.96681,74.84703
1713534091,21.58999,48.63203,20.04,1000.88,40.84,23.20852,74.87144
1713534101,21.60601,48.62135,20.04,1000.93,40.85,23.04738,74.84703
1713534111,21.60601,48.63508,20.04,1000.97,40.95,22.96681,74.94469
1713534121,21.61936,48.56337,20.05,1000.97,40.96,22.96681,74.94469
1713534131,21.60601,48.61219,20.03,1000.95,40.86,22.96681,74.94469
1713534141,21.60601,48.62135,20.03,1001.0,40.94,22.96681,75.01945
1713534151,21.57664,48.53437,20.04,1000.86,40.9,23.04738,75.14153
1713534161,21.60601,48.52674,20.03,1000.92,40.82,22.96681,75.28802
1713534171,21.58999,48.48859,20.03,1000.89,40.87,22.96681,75.36126
1713534181,21.57664,48.46265,20.03,1000.86,40.76,22.96681,75.45892
1713534191,21.57664,48.52216,20.02,1000.88,40.75,23.04738,75.50774
1713534201,21.60601,48.57557,20.03,1000.89,40.8,23.04738,74.94469
1713534211,21.58999,48.57252,20.03,1000.83,40.83,22.96681,72.35676
1713534221,21.60601,48.58473,20.03,1000.94,40.72,22.88624,73.91928
1713534231,21.58999,48.64119,20.03,1000.89,40.84,22.88624,75.01945
1713534241,21.58999,48.65492,20.02,1000.88,40.83,22.96681,75.60541
1713534251,21.60601,48.56184,20.03,1000.91,40.82,22.80568,75.38567
