c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713969090,21.33631,44.40985,20.48C,996.96hPa,37.05%,22.96681,98.19333
1713969100,21.36568,44.42511,19.94C,997.05hPa,37.02%,22.88624,98.21774
1713969110,21.36568,44.48768,19.84C,997.03hPa,36.99%,22.64454,98.21774
1713969120,21.35233,44.47089,19.7C,997.05hPa,36.96%,22.56397,98.1445
1713969130,21.30961,44.60822,19.6C,997.14hPa,36.88%,22.32227,98.16891
1713969140,21.32296,44.6479,19.49C,997.05hPa,37.16%,22.32227,98.16891
1713969150,21.29626,44.72725,19.39C,997.04hPa,37.41%,22.16113,98.1445
1713969160,21.29626,44.88136,19.28C,997.09hPa,37.51%,22.08057,98.16891
1713969170,21.28024,44.79591,19.15C,997.07hPa,37.76%,21.7583,98.12009
1713969180,21.26688,44.46174,19.06C,997.10hPa,38.11%,21.83887,98.09567
1713969190,21.25353,44.46021,18.99C,997.17hPa,38.36%,21.7583,98.07126
1713969200,21.22416,44.45564,18.94C,997.19hPa,38.46%,21.67773,98.02243
1713969210,21.22416,44.55177,18.88C,997.18hPa,38.64%,21.51659,98.02243
1713969220,21.19746,44.74861,18.84C,997.19hPa,38.70%,21.51659,97.9736
1713969230,21.19746,44.93782,18.8C,997.15hPa,38.84%,21.35546,97.9736
1713969240,21.21081,45.05989,18.76C,997.17hPa,39.01%,21.35546,97.94919
1713969250,21.18143,45.10262,18.73C,997.19hPa,39.11%,21.43603,97.9736
1713969260,21.16541,45.1606,18.7C,997.15hPa,39.12%,21.35546,97.94919
1713969270,21.15206,45.20638,18.67C,997.17hPa,39.34%,21.35546,97.9736
1713969280,21.13871,45.27657,18.64C,997.21hPa,39.44%,21.43603,97.99802
1713969290,21.13871,45.29946,18.62C,997.25hPa,39.47%,21.27489,97.9736
1713969300,21.10933,45.3315,18.6C,997.19hPa,39.54%,21.27489,97.99802
1713969310,21.15206,45.40779,18.57C,997.20hPa,39.63%,21.27489,97.99802
1713969320,21.10933,45.35439,18.55C,997.29hPa,39.67%,21.27489,97.99802
1713969330,21.10933,45.38948,18.53C,997.24hPa,39.74%,21.27489,97.99802
1713969340,21.07996,45.45815,18.51C,997.26hPa,39.81%,21.11376,97.9736
1713969350,21.09598,45.48257,18.49C,997.26hPa,39.87%,21.27489,97.92477
1713969360,21.07996,45.44595,18.47C,997.25hPa,39.93%,21.27489,97.90036
1713969370,21.0666,45.50393,18.46C,997.18hPa,39.98%,21.11376,97.82711
1713969380,21.0666,45.54971,18.45C,997.19hPa,40.04%,21.11376,97.8027
1713969390,21.07996,45.51766,18.44C,997.28hPa,40.10%,21.11376,97.75387
1713969400,21.02388,45.55886,18.43C,997.26hPa,40.21%,21.19432,97.70504
1713969410,21.05325,45.54971,18.41C,997.26hPa,40.09%,21.03319,97.70504
1713969420,21.0399,45.47646,18.4C,997.18hPa,40.13%,21.19432,97.68063
1713969430,21.02388,45.48714,18.39C,997.21hPa,40.27%,21.11376,97.65621
1713969440,21.02388,45.46273,18.39C,997.30hPa,40.27%,21.11376,97.6318
1713969450,21.01053,45.53292,18.38C,997.30hPa,40.36%,21.03319,97.60738
1713969460,21.02388,45.60464,18.36C,997.31hPa,40.42%,21.03319,97.55856
1713969470,20.99718,45.6611,18.35C,997.29hPa,40.46%,21.11376,97.53414
1713969480,20.99718,45.70687,18.34C,997.35hPa,40.48%,21.11376,97.50973
1713969490,20.99718,45.70687,18.34C,997.30hPa,40.54%,21.11376,97.48531
1713969500,20.9678,45.7023,18.32C,997.29hPa,40.75%,21.11376,97.41207
1713969510,20.9678,45.69314,18.31C,997.28hPa,40.67%,20.95262,97.38766
1713969520,20.98383,45.68246,18.31C,997.30hPa,40.64%,20.95262,97.33883
1713969530,20.9678,45.69314,18.31C,997.21hPa,40.71%,21.03319,97.31441
1713969540,20.9678,45.75265,18.3C,997.29hPa,40.79%,20.95262,97.29
1713969550,20.95445,45.73892,18.3C,997.22hPa,40.76%,21.11376,97.24117
1713969560,20.9411,45.74807,18.29C,997.21hPa,40.77%,21.11376,97.16793
1713969570,20.9411,45.81979,18.28C,997.26hPa,40.79%,21.03319,97.1191
1713969580,20.92508,45.82895,18.27C,997.23hPa,40.81%,21.11376,97.02144
1713969590,20.92508,45.82895,18.27C,997.20hPa,40.91%,21.11376,96.97261
1713969600,20.91173,45.8259,18.26C,997.28hPa,41.02%,21.11376,96.92378
1713969610,20.92508,45.83963,18.26C,997.23hPa,41.00%,20.95262,96.89937
1713969620,20.91173,45.79232,18.25C,997.25hPa,41.00%,21.03319,96.82613
1713969630,20.89838,45.82437,18.24C,997.21hPa,40.98%,21.03319,96.7773
1713969640,20.89838,45.86099,18.24C,997.21hPa,40.99%,21.11376,96.7773
1713969650,20.89838,45.89761,18.24C,997.26hPa,41.03%,21.11376,96.72847
1713969660,20.88503,45.89456,18.23C,997.25hPa,41.03%,20.95262,96.70406
1713969670,20.88503,45.90677,18.23C,997.30hPa,41.07%,20.87205,96.60639
1713969680,20.88503,45.93118,18.22C,997.29hPa,41.13%,20.95262,96.58198
1713969690,20.88503,45.96628,18.22C,997.29hPa,41.13%,21.03319,96.53315
1713969700,20.88503,45.98917,18.21C,997.30hPa,41.13%,21.03319,96.50874
1713969710,20.85565,45.99832,18.2C,997.20hPa,41.22%,20.95262,96.53315
1713969720,20.88503,46.0029,18.2C,997.34hPa,41.22%,21.03319,96.48432
1713969730,20.869,46.02274,18.19C,997.23hPa,41.14%,20.95262,96.50874
1713969740,20.869,46.03647,18.19C,997.29hPa,41.14%,21.03319,96.48432
1713969750,20.85565,46.03494,18.19C,997.21hPa,41.23%,20.95262,96.50874
1713969760,20.85565,46.05783,18.18C,997.31hPa,41.32%,21.03319,96.53315
1713969770,20.82895,46.04105,18.18C,997.22hPa,41.29%,20.95262,96.50874
1713969780,20.85565,46.0441,18.18C,997.19hPa,41.22%,20.87205,96.45991
1713969790,20.8423,46.07767,18.18C,997.25hPa,41.28%,20.95262,96.45991
1713969800,20.82895,46.08682,18.17C,997.25hPa,41.33%,20.95262,96.41108
1713969810,20.81293,46.13565,18.18C,997.26hPa,41.26%,20.95262,96.43549
1713969820,20.81293,46.12192,18.16C,997.20hPa,41.28%,20.95262,96.38667
1713969830,20.81293,46.09903,18.16C,997.27hPa,41.33%,21.03319,96.38667
1713969840,20.81293,46.11276,18.16C,997.24hPa,41.35%,20.95262,96.36225
1713969850,20.81293,46.15854,18.16C,997.21hPa,41.31%,21.03319,96.36225
1713969860,20.79958,46.11887,18.14C,997.23hPa,41.33%,21.03319,96.36225
1713969870,20.79958,46.15549,18.15C,997.22hPa,41.35%,21.03319,96.36225
1713969880,20.7702,46.22263,18.14C,997.21hPa,41.32%,20.95262,96.33784
1713969890,20.78622,46.17838,18.14C,997.25hPa,41.37%,20.95262,96.36225
1713969900,20.7702,46.21347,18.14C,997.21hPa,41.43%,20.95262,96.31342
1713969910,20.7702,46.21347,18.14C,997.23hPa,41.44%,20.87205,96.33784
1713969920,20.7702,46.21347,18.14C,997.25hPa,41.43%,20.95262,96.31342
1713969930,20.7702,46.24704,18.13C,997.26hPa,41.42%,20.95262,96.31342
1713969940,20.75684,46.2562,18.13C,997.19hPa,41.45%,20.95262,96.289
1713969950,20.75684,46.26841,18.13C,997.21hPa,41.48%,20.95262,96.26459
1713969960,20.75684,46.22263,18.12C,997.20hPa,41.44%,20.95262,96.26459
1713969970,20.7702,46.29587,18.12C,997.20hPa,41.46%,21.03319,96.26459
1713969980,20.75684,46.28214,18.12C,997.26hPa,41.50%,20.87205,96.26459
1713969990,20.73014,46.31418,18.13C,997.26hPa,41.51%,20.87205,96.289
1713970000,20.74349,46.30198,18.11C,997.13hPa,41.51%,20.87205,96.33784
1713970010,20.73014,46.33707,18.12C,997.26hPa,41.53%,20.95262,96.36225
1713970020,20.73014,46.33707,18.11C,997.27hPa,41.53%,21.03319,96.41108
1713970030,20.70077,46.32029,18.11C,997.21hPa,41.51%,20.87205,96.45991
1713970040,20.73014,46.34775,18.11C,997.23hPa,41.53%,20.87205,96.50874
1713970050,20.71412,46.34623,18.11C,997.21hPa,41.49%,20.95262,96.48432
1713970060,20.74349,46.32486,18.1C,997.19hPa,41.54%,20.87205,96.45991
1713970070,20.73014,46.34775,18.1C,997.16hPa,41.57%,20.87205,96.45991
1713970080,20.70077,46.36911,18.11C,997.20hPa,41.59%,20.87205,96.45991
1713970090,20.71412,46.40574,18.1C,997.24hPa,41.56%,20.87205,96.48432
1713970100,20.68742,46.40116,18.09C,997.17hPa,41.56%,20.79148,96.45991
1713970110,20.71412,46.41642,18.1C,997.26hPa,41.57%,20.95262,96.41108
1713970120,20.68742,46.40116,18.09C,997.15hPa,41.60%,20.95262,96.36225
1713970130,20.67406,46.43473,18.09C,997.20hPa,41.62%,20.79148,96.36225
1713970140,20.67406,46.47135,18.1C,997.21hPa,41.62%,21.03319,96.33784
1713970150,20.67406,46.50645,18.09C,997.19hPa,41.55%,20.95262,96.31342
1713970160,20.67406,46.46067,18.08C,997.13hPa,41.60%,20.95262,96.31342
1713970170,20.65804,46.49271,18.09C,997.22hPa,41.60%,20.87205,96.31342
1713970180,20.67406,46.49424,18.08C,997.19hPa,41.57%,20.79148,96.33784
1713970190,20.67406,46.49424,18.08C,997.18hPa,41.59%,20.79148,96.38667
1713970200,20.64469,46.5156,18.08C,997.23hPa,41.67%,20.79148,96.41108
1713970210,20.65804,46.51713,18.07C,997.19hPa,41.69%,20.95262,96.45991
1713970220,20.64469,46.57511,18.07C,997.17hPa,41.65%,20.95262,96.53315
1713970230,20.64469,46.55222,18.07C,997.17hPa,41.65%,20.87205,96.58198
1713970240,20.63134,46.58427,18.06C,997.21hPa,41.70%,20.95262,96.65522
1713970250,20.63134,46.60716,18.06C,997.15hPa,41.71%,20.79148,96.7773
1713970260,20.64469,46.598,18.07C,997.19hPa,41.71%,20.95262,96.82613
1713970270,20.65804,46.5858,18.07C,997.14hPa,41.67%,20.79148,96.89937
1713970280,20.65804,46.60868,18.07C,997.22hPa,41.71%,20.87205,96.97261
1713970290,20.65804,46.63615,18.06C,997.18hPa,41.70%,20.79148,97.04585
1713970300,20.63134,46.60716,18.06C,997.17hPa,41.69%,20.87205,97.1191
1713970310,20.61532,46.59343,18.07C,997.22hPa,41.70%,20.87205,97.09469
1713970320,20.63134,46.57206,18.05C,997.11hPa,41.70%,20.87205,97.09469
1713970330,20.64469,46.60868,18.06C,997.21hPa,41.71%,20.87205,97.1191
1713970340,20.61532,46.64073,18.06C,997.17hPa,41.73%,20.79148,97.16793
1713970350,20.5993,46.65294,18.06C,997.17hPa,41.71%,20.87205,97.21676
1713970360,20.61532,46.66362,18.06C,997.20hPa,41.74%,20.87205,97.24117
1713970370,20.61532,46.67735,18.05C,997.27hPa,41.77%,20.87205,97.31441
1713970380,20.63134,46.65446,18.04C,997.17hPa,41.73%,20.87205,97.33883
1713970390,20.58595,46.68498,18.06C,997.20hPa,41.74%,20.87205,97.38766
1713970400,20.5993,46.61631,18.05C,997.19hPa,41.80%,20.79148,97.50973
1713970410,20.58595,46.66209,18.06C,997.25hPa,41.82%,20.95262,97.53414
1713970420,20.58595,46.67277,18.05C,997.21hPa,41.73%,20.87205,97.58297
1713970430,20.5993,46.69871,18.05C,997.25hPa,41.63%,20.95262,97.60738
1713970440,20.57259,46.70481,18.05C,997.16hPa,41.72%,20.87205,97.6318
1713970450,20.58595,46.73228,18.04C,997.20hPa,41.83%,20.87205,97.65621
1713970460,20.57259,46.73075,18.04C,997.25hPa,41.82%,20.79148,97.68063
1713970470,20.57259,46.70481,18.04C,997.12hPa,41.81%,20.87205,97.6318
1713970480,20.57259,46.70481,18.04C,997.20hPa,41.80%,20.87205,97.60738
1713970490,20.58595,46.64988,18.04C,997.12hPa,41.81%,20.87205,97.58297
1713970500,20.57259,46.67125,18.04C,997.17hPa,41.81%,20.87205,97.58297
1713970510,20.55657,46.6804,18.04C,997.20hPa,41.77%,20.87205,97.55856
1713970520,20.55657,46.73991,18.04C,997.14hPa,41.75%,20.79148,97.50973
1713970530,20.55657,46.75364,18.03C,997.18hPa,41.82%,20.87205,97.50973
1713970540,20.55657,46.7628,18.04C,997.20hPa,41.81%,20.79148,97.50973
1713970550,20.54322,46.77348,18.05C,997.24hPa,41.82%,20.87205,97.48531
1713970560,20.57259,46.77806,18.03C,997.21hPa,41.81%,20.87205,97.50973
1713970570,20.55657,46.79942,18.04C,997.20hPa,41.82%,20.79148,97.50973
1713970580,20.52987,46.81926,18.03C,997.19hPa,41.81%,20.87205,97.50973
1713970590,20.52987,46.75975,18.03C,997.15hPa,41.80%,20.87205,97.50973
1713970600,20.54322,46.7628,18.03C,997.11hPa,41.84%,20.87205,97.50973
1713970610,20.52987,46.79485,18.03C,997.15hPa,41.84%,20.95262,97.48531
1713970620,20.54322,46.78569,18.03C,997.13hPa,41.85%,20.79148,97.43649
1713970630,20.54322,46.79637,18.03C,997.10hPa,41.83%,20.87205,97.48531
1713970640,20.52987,46.78264,18.03C,997.12hPa,41.83%,20.87205,97.43649
1713970650,20.52987,46.83147,18.03C,997.17hPa,41.83%,20.79148,97.43649
1713970660,20.52987,46.85435,18.03C,997.11hPa,41.82%,20.79148,97.43649
1713970670,20.52987,46.86504,18.02C,997.16hPa,41.86%,20.79148,97.43649
1713970680,20.52987,46.79485,18.03C,997.15hPa,41.87%,20.87205,97.43649
1713970690,20.51652,46.84062,18.02C,997.08hPa,41.89%,20.79148,97.43649
1713970700,20.51652,46.83147,18.02C,997.14hPa,41.88%,20.87205,97.43649
1713970710,20.5005,46.8513,18.02C,997.16hPa,41.88%,20.87205,97.48531
1713970720,20.5005,46.86046,18.03C,997.12hPa,41.89%,20.87205,97.48531
1713970730,20.52987,46.89098,18.02C,997.14hPa,41.83%,20.87205,97.43649
1713970740,20.5005,46.89708,18.02C,997.13hPa,41.84%,20.87205,97.43649
1713970750,20.48714,46.90929,18.01C,997.15hPa,41.89%,20.87205,97.38766
1713970760,20.51652,46.93675,18.01C,997.28hPa,41.90%,20.87205,97.36324
1713970770,20.5005,46.94591,18.02C,997.16hPa,41.90%,20.79148,97.36324
1713970780,20.51652,46.95964,18.01C,997.09hPa,41.88%,20.79148,97.33883
1713970790,20.5005,46.9688,18.01C,997.19hPa,41.90%,20.79148,97.33883
1713970800,20.47379,46.96422,18.0C,997.11hPa,41.90%,20.79148,97.31441
1713970810,20.5005,46.9688,18.01C,997.11hPa,41.88%,20.79148,97.31441
1713970820,20.48714,46.97948,18.0C,997.13hPa,41.90%,20.79148,97.29
1713970830,20.47379,47.01457,17.99C,997.12hPa,41.87%,20.79148,97.31441
1713970840,20.45777,46.96117,18.0C,997.12hPa,41.85%,20.95262,97.29
1713970850,20.47379,46.95506,17.99C,997.14hPa,41.83%,20.87205,97.29
1713970860,20.48714,47.01457,18.0C,997.15hPa,41.89%,20.71092,97.29
1713970870,20.47379,46.97795,17.99C,997.16hPa,41.90%,20.87205,97.24117
1713970880,20.47379,46.98863,17.99C,997.16hPa,41.91%,20.87205,97.24117
1713970890,20.47379,47.00084,17.99C,997.12hPa,41.96%,20.79148,97.24117
1713970900,20.44442,46.99626,17.99C,997.14hPa,41.95%,20.87205,97.21676
1713970910,20.47379,47.06035,17.99C,997.11hPa,41.93%,20.95262,97.21676
1713970920,20.44442,47.0695,17.99C,997.22hPa,41.90%,20.87205,97.19234
1713970930,20.44442,47.05577,17.99C,997.11hPa,41.90%,20.87205,97.16793
1713970940,20.43107,47.05577,17.98C,997.15hPa,41.93%,20.71092,97.16793
1713970950,20.44442,47.08018,17.98C,997.15hPa,41.94%,20.79148,97.16793
1713970960,20.44442,47.10307,17.99C,997.11hPa,41.93%,20.87205,97.16793
1713970970,20.43107,47.12444,17.98C,997.13hPa,41.97%,20.79148,97.14352
1713970980,20.45777,47.10612,17.98C,997.12hPa,41.97%,20.87205,97.14352
1713970990,20.43107,47.08934,17.98C,997.15hPa,41.96%,20.87205,97.14352
1713971000,20.43107,47.11528,17.98C,997.12hPa,41.95%,20.87205,97.14352
1713971010,20.44442,47.10307,17.98C,997.04hPa,41.98%,20.79148,97.14352
1713971020,20.41772,47.11223,17.97C,997.11hPa,41.98%,20.71092,97.14352
1713971030,20.43107,47.12444,17.97C,997.09hPa,41.97%,20.87205,97.16793
1713971040,20.44442,47.11528,17.97C,997.11hPa,41.98%,20.71092,97.21676
1713971050,20.41772,47.11223,17.97C,997.08hPa,41.98%,20.79148,97.21676
1713971060,20.41772,47.17174,17.96C,997.10hPa,41.96%,20.87205,97.21676
1713971070,20.41772,47.1809,17.96C,997.12hPa,41.96%,20.79148,97.19234
1713971080,20.41772,47.1809,17.97C,997.13hPa,42.01%,20.87205,97.21676
1713971090,20.41772,47.158,17.96C,997.10hPa,42.01%,20.79148,97.21676
1713971100,20.41772,47.21752,17.96C,997.19hPa,41.96%,20.87205,97.21676
1713971110,20.41772,47.22972,17.95C,997.07hPa,42.00%,20.79148,97.16793
1713971120,20.4017,47.21599,17.95C,997.13hPa,42.02%,20.79148,97.14352
1713971130,20.41772,47.24041,17.96C,997.13hPa,42.01%,20.79148,97.1191
1713971140,20.4017,47.24041,17.95C,997.05hPa,42.04%,20.79148,97.07027
1713971150,20.38834,47.26177,17.95C,997.15hPa,42.07%,20.71092,97.04585
1713971160,20.38834,47.2755,17.96C,997.16hPa,42.05%,20.71092,97.02144
1713971170,20.4017,47.17022,17.95C,997.07hPa,42.03%,20.71092,97.02144
1713971180,20.38834,47.11986,17.95C,997.13hPa,42.05%,20.79148,97.04585
1713971190,20.4017,47.15648,17.94C,997.14hPa,42.04%,20.79148,97.02144
1713971200,20.38834,47.21599,17.94C,997.13hPa,42.04%,20.71092,97.1191
1713971210,20.38834,47.21599,17.94C,997.11hPa,42.07%,20.87205,97.14352
1713971220,20.37499,47.25872,17.95C,997.15hPa,42.07%,20.79148,97.19234
1713971230,20.38834,47.23888,17.94C,997.10hPa,42.06%,20.79148,97.21676
1713971240,20.4017,47.2755,17.94C,997.13hPa,41.98%,20.71092,97.21676
1713971250,20.36164,47.29381,17.95C,997.12hPa,42.05%,20.79148,97.24117
1713971260,20.34562,47.26787,17.94C,997.13hPa,42.10%,20.71092,97.26559
1713971270,20.37499,47.33196,17.94C,997.16hPa,42.10%,20.79148,97.29
1713971280,20.36164,47.29381,17.94C,997.10hPa,42.08%,20.79148,97.31441
1713971290,20.38834,47.32128,17.94C,997.13hPa,42.08%,20.71092,97.29
1713971300,20.36164,47.29381,17.93C,997.04hPa,42.10%,20.71092,97.31441
1713971310,20.36164,47.2816,17.93C,997.12hPa,42.12%,20.71092,97.31441
1713971320,20.33227,47.34874,17.92C,997.07hPa,42.12%,20.79148,97.26559
1713971330,20.36164,47.34111,17.94C,997.10hPa,42.12%,20.71092,97.24117
1713971340,20.36164,47.3167,17.93C,997.11hPa,42.09%,20.87205,97.21676
1713971350,20.33227,47.34874,17.92C,997.05hPa,42.05%,20.79148,97.26559
1713971360,20.36164,47.38689,17.92C,997.08hPa,42.07%,20.71092,97.24117
1713971370,20.30289,47.36858,17.93C,997.17hPa,42.14%,20.79148,97.24117
1713971380,20.33227,47.40826,17.92C,997.02hPa,42.14%,20.79148,97.29
1713971390,20.34562,47.42199,17.92C,997.11hPa,42.09%,20.87205,97.24117
1713971400,20.31892,47.43114,17.92C,997.15hPa,42.10%,20.71092,97.29
1713971410,20.33227,47.45556,17.93C,997.09hPa,42.15%,20.71092,97.29
1713971420,20.31892,47.41741,17.91C,997.06hPa,42.12%,20.79148,97.31441
1713971430,20.31892,47.40826,17.91C,997.14hPa,42.10%,20.71092,97.36324
1713971440,20.34562,47.42199,17.91C,997.04hPa,42.13%,20.87205,97.38766
1713971450,20.33227,47.44183,17.91C,997.09hPa,42.16%,20.71092,97.38766
1713971460,20.34562,47.42199,17.91C,997.12hPa,42.16%,20.71092,97.41207
1713971470,20.31892,47.50134,17.9C,997.05hPa,42.16%,20.79148,97.36324
1713971480,20.34562,47.4815,17.91C,997.09hPa,42.17%,20.71092,97.36324
1713971490,20.28954,47.42809,17.91C,997.11hPa,42.18%,20.71092,97.31441
1713971500,20.30289,47.48608,17.9C,997.05hPa,42.18%,20.71092,97.31441
1713971510,20.30289,47.4403,17.91C,997.09hPa,42.11%,20.71092,97.29
1713971520,20.28954,47.46014,17.9C,997.10hPa,42.12%,20.79148,97.31441
1713971530,20.30289,47.48608,17.9C,997.12hPa,42.17%,20.71092,97.31441
1713971540,20.31892,47.50134,17.9C,997.09hPa,42.18%,20.71092,97.36324
1713971550,20.28954,47.53338,17.9C,997.10hPa,42.17%,20.71092,97.36324
1713971560,20.28954,47.51965,17.9C,997.05hPa,42.17%,20.71092,97.38766
1713971570,20.28954,47.39147,17.89C,997.05hPa,42.19%,20.63035,97.38766
1713971580,20.28954,47.35485,17.9C,997.09hPa,42.21%,20.79148,97.41207
1713971590,20.30289,47.38079,17.89C,997.03hPa,42.23%,20.79148,97.43649
1713971600,20.30289,47.42809,17.9C,997.09hPa,42.21%,20.79148,97.41207
1713971610,20.28954,47.49676,17.9C,997.09hPa,42.21%,20.71092,97.43649
1713971620,20.28954,47.53338,17.9C,997.04hPa,42.22%,20.79148,97.48531
1713971630,20.30289,47.51049,17.89C,997.06hPa,42.23%,20.71092,97.48531
1713971640,20.27619,47.56543,17.89C,997.02hPa,42.24%,20.71092,97.50973
1713971650,20.28954,47.51049,17.89C,997.08hPa,42.25%,20.63035,97.50973
1713971660,20.27619,47.53185,17.9C,997.09hPa,42.24%,20.79148,97.50973
1713971670,20.27619,47.53185,17.89C,997.08hPa,42.25%,20.71092,97.50973
1713971680,20.27619,47.57916,17.89C,997.00hPa,42.21%,20.79148,97.55856
1713971690,20.28954,47.54559,17.89C,997.06hPa,42.20%,20.79148,97.53414
1713971700,20.26284,47.56543,17.89C,997.02hPa,42.19%,20.63035,97.53414
1713971710,20.24682,47.5639,17.88C,997.07hPa,42.24%,20.71092,97.53414
1713971720,20.26284,47.57763,17.89C,997.09hPa,42.28%,20.63035,97.50973
1713971730,20.26284,47.59137,17.89C,997.03hPa,42.24%,20.63035,97.50973
1713971740,20.24682,47.57458,17.88C,996.98hPa,42.25%,20.79148,97.50973
1713971750,20.24682,47.6112,17.88C,997.09hPa,42.30%,20.63035,97.53414
1713971760,20.24682,47.63409,17.88C,996.95hPa,42.31%,20.71092,97.55856
1713971770,20.26284,47.68292,17.88C,997.04hPa,42.31%,20.71092,97.58297
1713971780,20.26284,47.61425,17.88C,997.07hPa,42.32%,20.79148,97.60738
1713971790,20.26284,47.57763,17.88C,997.01hPa,42.32%,20.79148,97.60738
1713971800,20.26284,47.54101,17.88C,996.95hPa,42.32%,20.79148,97.68063
1713971810,20.24682,47.5639,17.89C,997.02hPa,42.29%,20.71092,97.65621
1713971820,20.24682,47.5639,17.88C,996.98hPa,42.26%,20.71092,97.6318
1713971830,20.24682,47.5288,17.88C,996.99hPa,42.26%,20.71092,97.68063
1713971840,20.27619,47.55627,17.89C,997.05hPa,42.29%,20.71092,97.65621
1713971850,20.24682,47.57458,17.88C,997.04hPa,42.29%,20.71092,97.6318
1713971860,20.26284,47.60052,17.88C,997.01hPa,42.26%,20.71092,97.60738
1713971870,20.24682,47.63409,17.88C,997.04hPa,42.28%,20.71092,97.58297
1713971880,20.23347,47.66919,17.88C,997.01hPa,42.32%,20.71092,97.55856
1713971890,20.22012,47.70275,17.88C,996.99hPa,42.32%,20.71092,97.58297
1713971900,20.23347,47.70275,17.88C,997.06hPa,42.31%,20.79148,97.58297
1713971910,20.24682,47.57458,17.88C,997.04hPa,42.31%,20.79148,97.55856
1713971920,20.22012,47.56085,17.88C,996.97hPa,42.31%,20.71092,97.58297
1713971930,20.20676,47.53643,17.88C,996.99hPa,42.31%,20.63035,97.58297
1713971940,20.24682,47.55169,17.88C,997.06hPa,42.33%,20.63035,97.58297
1713971950,20.20676,47.57,17.88C,997.06hPa,42.30%,20.79148,97.55856
1713971960,20.22012,47.60968,17.88C,997.00hPa,42.27%,20.79148,97.55856
1713971970,20.22012,47.60968,17.88C,997.03hPa,42.27%,20.63035,97.60738
1713971980,20.20676,47.57,17.87C,996.96hPa,42.32%,20.71092,97.60738
1713971990,20.23347,47.63409,17.88C,997.03hPa,42.27%,20.63035,97.58297
1713972000,20.20676,47.67834,17.88C,997.05hPa,42.30%,20.71092,97.6318
1713972010,20.22012,47.69207,17.88C,997.03hPa,42.33%,20.79148,97.6318
1713972020,20.23347,47.57458,17.87C,997.02hPa,42.26%,20.71092,97.6318
1713972030,20.20676,47.55932,17.87C,997.07hPa,42.31%,20.71092,97.6318
1713972040,20.22012,47.66613,17.87C,997.04hPa,42.41%,20.63035,97.6318
1713972050,20.22012,47.76226,17.87C,997.02hPa,42.37%,20.71092,97.6318
1713972060,20.22012,47.73785,17.87C,997.02hPa,42.38%,20.71092,97.60738
1713972070,20.20676,47.60662,17.87C,997.02hPa,42.33%,20.63035,97.6318
1713972080,20.22012,47.52728,17.87C,996.99hPa,42.31%,20.63035,97.60738
1713972090,20.19074,47.58221,17.87C,997.02hPa,42.37%,20.71092,97.60738
1713972100,20.20676,47.64172,17.87C,997.05hPa,42.36%,20.79148,97.58297
1713972110,20.20676,47.66461,17.87C,997.02hPa,42.38%,20.71092,97.58297
1713972120,20.19074,47.67529,17.87C,997.02hPa,42.39%,20.71092,97.60738
1713972130,20.19074,47.68902,17.87C,997.02hPa,42.42%,20.63035,97.60738
1713972140,20.17739,47.67376,17.87C,997.04hPa,42.43%,20.71092,97.60738
1713972150,20.19074,47.74701,17.86C,997.02hPa,42.40%,20.71092,97.60738
1713972160,20.20676,47.73785,17.85C,997.02hPa,42.41%,20.79148,97.60738
1713972170,20.17739,47.72107,17.86C,996.98hPa,42.40%,20.79148,97.6318
1713972180,20.19074,47.78057,17.86C,996.97hPa,42.41%,20.71092,97.68063
1713972190,20.19074,47.75769,17.86C,996.98hPa,42.45%,20.63035,97.70504
1713972200,20.20676,47.80651,17.86C,997.00hPa,42.45%,20.63035,97.75387
1713972210,20.16404,47.81567,17.85C,996.96hPa,42.40%,20.71092,97.75387
1713972220,20.17739,47.74395,17.86C,997.03hPa,42.37%,20.71092,97.72945
1713972230,20.17739,47.66156,17.86C,997.03hPa,42.43%,20.79148,97.75387
1713972240,20.19074,47.74701,17.86C,996.98hPa,42.44%,20.71092,97.72945
1713972250,20.17739,47.76989,17.86C,996.97hPa,42.44%,20.71092,97.70504
1713972260,20.16404,47.74243,17.86C,997.02hPa,42.43%,20.79148,97.70504
1713972270,20.16404,47.81567,17.86C,996.97hPa,42.45%,20.71092,97.72945
1713972280,20.16404,47.76989,17.86C,997.02hPa,42.48%,20.79148,97.70504
1713972290,20.14802,47.78973,17.86C,997.02hPa,42.46%,20.79148,97.70504
1713972300,20.16404,47.85229,17.86C,997.02hPa,42.44%,20.79148,97.70504
1713972310,20.14802,47.87213,17.86C,996.98hPa,42.45%,20.71092,97.70504
1713972320,20.14802,47.80194,17.84C,997.05hPa,42.44%,20.71092,97.70504
1713972330,20.16404,47.74243,17.85C,997.04hPa,42.39%,20.79148,97.68063
1713972340,20.16404,47.71038,17.85C,997.12hPa,42.42%,20.63035,97.68063
1713972350,20.16404,47.75616,17.85C,997.10hPa,42.47%,20.79148,97.68063
1713972360,20.14802,47.776,17.85C,997.04hPa,42.48%,20.71092,97.68063
1713972370,20.16404,47.77905,17.86C,997.00hPa,42.48%,20.63035,97.68063
1713972380,20.14802,47.84924,17.85C,996.98hPa,42.45%,20.71092,97.70504
1713972390,20.16404,47.83856,17.85C,997.03hPa,42.47%,20.71092,97.70504
1713972400,20.13467,47.7882,17.85C,997.06hPa,42.51%,20.71092,97.70504
